id,lat,lon,tract_geoid,median_income_E,gini_index_E,pct_rental_E,pct_sf_homes_E,annual_loans_per_sf_home,annual_loans_per_mf_home,income_ratio_sf,pct_sf_purchase,pct_sf_refi,pct_sf_rehab,pct_sf_cashout,mean_rate,geometry
0291P00003000000,40.50369954,-79.85834385,42003421100,55417,0.4576,0.24446680080482897,0.7912474849094567,0.035013937111839206,3.707136237256719e-4,2.3458505512748795,0.547486033519553,0.3687150837988827,0,0.08379888268156424,3.650330739299611,"c(-79.85834385, 40.50369954)"
0227P00116000000,40.49289581,-79.8760001,42003421100,55417,0.4576,0.24446680080482897,0.7912474849094567,0.035013937111839206,3.707136237256719e-4,2.3458505512748795,0.547486033519553,0.3687150837988827,0,0.08379888268156424,3.650330739299611,"c(-79.8760001, 40.49289581)"
0227A00150000000,40.49969029,-79.87903234,42003421100,55417,0.4576,0.24446680080482897,0.7912474849094567,0.035013937111839206,3.707136237256719e-4,2.3458505512748795,0.547486033519553,0.3687150837988827,0,0.08379888268156424,3.650330739299611,"c(-79.87903234, 40.49969029)"
0289S00080000000,40.51310291,-79.86662348,42003421100,55417,0.4576,0.24446680080482897,0.7912474849094567,0.035013937111839206,3.707136237256719e-4,2.3458505512748795,0.547486033519553,0.3687150837988827,0,0.08379888268156424,3.650330739299611,"c(-79.86662348, 40.51310291)"
0228B00131000000,40.4916368,-79.87651994,42003421100,55417,0.4576,0.24446680080482897,0.7912474849094567,0.035013937111839206,3.707136237256719e-4,2.3458505512748795,0.547486033519553,0.3687150837988827,0,0.08379888268156424,3.650330739299611,"c(-79.87651994, 40.4916368)"
1214E00296000000,40.60463648,-79.91534559,42003407002,36732,0.3897,0.14727272727272728,0.9952727272727273,0.018717855034990585,0,2.2051617118588696,0.5045045045045045,0.42492492492492495,0,0.07057057057057058,3.767883817427386,"c(-79.91534559, 40.60463648)"
1356D00313000000,40.61628965,-79.91933649,42003407002,36732,0.3897,0.14727272727272728,0.9952727272727273,0.018717855034990585,0,2.2051617118588696,0.5045045045045045,0.42492492492492495,0,0.07057057057057058,3.767883817427386,"c(-79.91933649, 40.61628965)"
1669J00141000000,40.63185714,-79.87893462,42003407002,36732,0.3897,0.14727272727272728,0.9952727272727273,0.018717855034990585,0,2.2051617118588696,0.5045045045045045,0.42492492492492495,0,0.07057057057057058,3.767883817427386,"c(-79.87893462, 40.63185714)"
1510S00287000000,40.61848675,-79.87017264,42003407002,36732,0.3897,0.14727272727272728,0.9952727272727273,0.018717855034990585,0,2.2051617118588696,0.5045045045045045,0.42492492492492495,0,0.07057057057057058,3.767883817427386,"c(-79.87017264, 40.61848675)"
1367J00241000000,40.61322672,-79.74631891,42003401300,31670,0.4376,0.11733333333333333,1.0177777777777777,0.016862613369163587,-0,2.1155667824439535,0.5179282868525896,0.38645418326693226,0.00398406374501992,0.09163346613545817,3.9424271844660193,"c(-79.74631891, 40.61322672)"
1519J00171000000,40.62101766,-79.73207187,42003401300,31670,0.4376,0.11733333333333333,1.0177777777777777,0.016862613369163587,-0,2.1155667824439535,0.5179282868525896,0.38645418326693226,0.00398406374501992,0.09163346613545817,3.9424271844660193,"c(-79.73207187, 40.62101766)"
1519B00059000000,40.62610865,-79.72570025,42003401300,31670,0.4376,0.11733333333333333,1.0177777777777777,0.016862613369163587,-0,2.1155667824439535,0.5179282868525896,0.38645418326693226,0.00398406374501992,0.09163346613545817,3.9424271844660193,"c(-79.72570025, 40.62610865)"
1518M00245000000,40.62229075,-79.73356307,42003401300,31670,0.4376,0.11733333333333333,1.0177777777777777,0.016862613369163587,-0,2.1155667824439535,0.5179282868525896,0.38645418326693226,0.00398406374501992,0.09163346613545817,3.9424271844660193,"c(-79.73356307, 40.62229075)"
1518F00175000000,40.62448337,-79.74261596,42003401300,31670,0.4376,0.11733333333333333,1.0177777777777777,0.016862613369163587,-0,2.1155667824439535,0.5179282868525896,0.38645418326693226,0.00398406374501992,0.09163346613545817,3.9424271844660193,"c(-79.74261596, 40.62448337)"
0070E00093000000,40.44835026,-80.07943843,42003563000,31753,0.3076,0.4409199048374306,0.8929421094369548,0.00655827298811313,0.0011396011396011395,1.7951059742386546,0.5729166666666666,0.34375,0,0.08333333333333333,4.153111111111111,"c(-80.07943843, 40.44835026)"
0071L00132000000,40.45514335,-80.0713066,42003563000,31753,0.3076,0.4409199048374306,0.8929421094369548,0.00655827298811313,0.0011396011396011395,1.7951059742386546,0.5729166666666666,0.34375,0,0.08333333333333333,4.153111111111111,"c(-80.0713066, 40.45514335)"
0069B00002000000,40.44280761,-80.0778526,42003563000,31753,0.3076,0.4409199048374306,0.8929421094369548,0.00655827298811313,0.0011396011396011395,1.7951059742386546,0.5729166666666666,0.34375,0,0.08333333333333333,4.153111111111111,"c(-80.0778526, 40.44280761)"
0071F00203000000,40.45845203,-80.07836172,42003563000,31753,0.3076,0.4409199048374306,0.8929421094369548,0.00655827298811313,0.0011396011396011395,1.7951059742386546,0.5729166666666666,0.34375,0,0.08333333333333333,4.153111111111111,"c(-80.07836172, 40.45845203)"
0013L00152000000,40.41829303,-79.97081139,42003160800,31952,0.4564,0.5128771155261221,0.8888888888888888,0.0173841059602649,0,2.7228342513770656,0.5567765567765568,0.34065934065934067,0.003663003663003663,0.0989010989010989,4.1069921875,"c(-79.97081139, 40.41829303)"
0013D00256000000,40.4233302,-79.96809082,42003160800,31952,0.4564,0.5128771155261221,0.8888888888888888,0.0173841059602649,0,2.7228342513770656,0.5567765567765568,0.34065934065934067,0.003663003663003663,0.0989010989010989,4.1069921875,"c(-79.96809082, 40.4233302)"
0013L00001000000,40.41851154,-79.97418926,42003160800,31952,0.4564,0.5128771155261221,0.8888888888888888,0.0173841059602649,0,2.7228342513770656,0.5567765567765568,0.34065934065934067,0.003663003663003663,0.0989010989010989,4.1069921875,"c(-79.97418926, 40.41851154)"
0012S00232000000,40.42363088,-79.96962057,42003160800,31952,0.4564,0.5128771155261221,0.8888888888888888,0.0173841059602649,0,2.7228342513770656,0.5567765567765568,0.34065934065934067,0.003663003663003663,0.0989010989010989,4.1069921875,"c(-79.96962057, 40.42363088)"
0048E00225000000,40.46813798,-79.9806473,42003241300,36622,0.4947,0.5089647194910353,0.757085020242915,NA,NA,NA,NA,NA,NA,NA,NA,"c(-79.9806473, 40.46813798)"
0047D00135000000,40.47161038,-79.98584065,42003241300,36622,0.4947,0.5089647194910353,0.757085020242915,NA,NA,NA,NA,NA,NA,NA,NA,"c(-79.98584065, 40.47161038)"
0024C00328000000,40.46024979,-79.98800881,42003241300,36622,0.4947,0.5089647194910353,0.757085020242915,NA,NA,NA,NA,NA,NA,NA,NA,"c(-79.98800881, 40.46024979)"
0024H00025000000,40.45957879,-79.98643329,42003241300,36622,0.4947,0.5089647194910353,0.757085020242915,NA,NA,NA,NA,NA,NA,NA,NA,"c(-79.98643329, 40.45957879)"
0055L00061000000,40.41688121,-79.93836812,42003562901,25187,0.3809,0.5543478260869565,1.1987577639751552,NA,NA,NA,NA,NA,NA,NA,NA,"c(-79.93836812, 40.41688121)"
0589H00006000000,40.44045139,-80.20053738,42003453003,40330,0.3689,0.17123287671232876,0.8602739726027397,0.02449779519843214,0,2.132407636994793,0.41,0.5,0,0.09,3.6216101694915257,"c(-80.20053738, 40.44045139)"
