PARID,f_drivable,f_walkable,f_diverse,f_biketodest,f_biketojob,f_amendities,f_dense,f_built_nature
1007L00060000000,-0.8963754237544279,-0.28536515620198233,1.0161597494929078,-0.9768548683674579,-0.5072221497379559,-0.6745196919962346,-0.845923756463225,-0.018871887592744496
1518L00290000000,-0.8513582749087332,-0.36337570272824077,0.5526397402982035,-0.3511694608219885,-0.043824317710256765,-0.38815355496841053,-0.3623500861718711,-0.19338211448508774
0884B00018000000,-0.8467787473413578,-0.29063545160260357,1.00314315587999,-0.781956175777569,-0.49343730586470297,-0.7779864032458547,-0.848520535860858,0.1171301585720702
0769P00017000000,-0.8380395170248982,-0.29137308878273444,0.9975544598203001,-0.7424477392655242,-0.5059341299983781,-0.7783114439608084,-0.7939362332593606,-0.2705870497720369
0769P00035000000,-0.8784478117280626,-0.29571216830136093,1.0521034961487645,-0.793773095003996,-0.4656195326075209,-0.7887675483780281,-0.9333300221938035,0.49641936469493675
0276L00036000000,-0.7645040218802938,-0.3354035230830234,0.37641979399741043,-0.36157291242755235,-0.14233832120054649,-0.5183782490701917,-0.40490767519456083,0.3781089756105408
0942F00357000000,-0.768549637171315,-0.27228858719188276,1.116560040169441,-0.731271865796219,-0.5261574977865954,-0.8312175816333058,-0.5313773665789379,0.7711689253776306
0942B00063000000,-0.8687645942784276,-0.29307133848727457,1.1238608687775296,-0.7790814326693849,-0.484653533982997,-0.8088204686851264,-0.8440016919327183,1.1438904712016118
0942B00356000000,-0.7872822754444094,-0.2748344594338102,1.1342227460977825,-0.7606528510006538,-0.517595919546556,-0.8096902389508214,-0.5966787390653239,0.8984175112427263
1084P00195000000,-0.7762678623442506,-0.2993710648482661,0.620106791501104,-0.7975635736850828,-0.5783315987923873,-0.3218883905983099,-1.4208858431564966,-0.5030406813682075
2377S00004000000,-0.7876602002405154,-0.2973849520818459,0.890345782453695,-1.0665636803585685,-0.48337329868808615,-0.6509565198590952,-0.9382449819678169,1.5430009128926567
0306D00223000000,-0.49623140080169664,-0.2852820947429264,-1.0142412635793727,-0.23937660742580022,-0.610513418067364,-0.21927754772460425,0.1406783030672594,-0.43763414425547986
0017M00208000000,2.6826250138062377,0.07039000970102734,-0.020866574391537072,-0.31235387088574335,-0.842909254575243,0.2158994894470368,1.2005261075133682,0.045419249092055275
1204C00314000000,-0.6658155115314103,-0.30189353031452976,1.2260357505043733,-0.8636231042287231,-0.37181327156683613,-0.746591387661551,-0.3300269865331759,0.5954762997078004
0564N00015000000,-0.3477520640017614,-0.10995488740556404,0.6941430877270414,-0.5020273443219322,-0.5996277443362202,-0.631446568446905,-0.297581775054075,0.13203823913441576
0609B00298000000,-0.8876346749287255,-0.29230566819549847,1.2007490911979766,-0.8797302243567987,-0.4557510089506708,-0.72962971887723,-0.7920238192266804,1.2646077310142387
1347J00031000000,-0.655217046362614,-0.29081838130997106,1.1262690545309433,-0.9422765779537065,-0.4856230962399235,-0.7409964796418798,-0.692650531475455,1.1639624877950294
1347N00031000000,-0.6648126291271366,-0.27563578114221987,1.1850733760708076,-0.9531770653398061,-0.5214884872542201,-0.7499157495141475,-0.5488906719938706,0.9570996016122969
0645N00098000000,-0.489676504668333,-0.2584823381587908,0.2518261343736771,-0.6626161686355942,-0.5873243133115085,-0.5821212570787841,-0.0953387375111778,0.34293781878077156
0465A00203000000,-0.6019225827728143,-0.2691568046784525,-0.21767918070624184,-0.5554081347491653,-0.5521741913519645,-0.4206362621579585,-0.6162037968989171,-0.48504766753643463
